fingerprint,seed,omitted_target_family,source_slice,evaluated_source_family,method,eligible,successes,asr,asr_query_auc,normalized_action_entropy,query_budget
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,transformer,bandit_action,304,12,0.03947368,0.02835526,0.99435353,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,transformer,gradient_bc_groupdro_ppo_stochastic,304,36,0.11842105,0.05296053,0.94916152,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,transformer,gradient_bc_only_stochastic,304,37,0.12171053,0.05582237,0.96925618,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,transformer,ppo_only_stochastic,304,32,0.10526316,0.05217105,0.99873330,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,transformer,random_action,304,32,0.10526316,0.04572368,0.99925078,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,exact_source,transformer,score_greedy,304,30,0.09868421,0.04164474,0.99963222,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,modern_cnn,bandit_action,182,2,0.01098901,0.00956044,0.98978748,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,modern_cnn,gradient_bc_groupdro_ppo_stochastic,182,9,0.04945055,0.01653846,0.94815954,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,modern_cnn,gradient_bc_only_stochastic,182,6,0.03296703,0.01780220,0.96941937,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,modern_cnn,ppo_only_stochastic,182,6,0.03296703,0.01087912,0.99761185,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,modern_cnn,random_action,182,4,0.02197802,0.01054945,0.99899328,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,modern_cnn,score_greedy,182,5,0.02747253,0.00796703,0.99945540,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,transformer,bandit_action,146,9,0.06164384,0.04678082,0.98632025,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,transformer,gradient_bc_groupdro_ppo_stochastic,146,16,0.10958904,0.06000000,0.94797692,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,transformer,gradient_bc_only_stochastic,146,16,0.10958904,0.05000000,0.96812975,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,transformer,ppo_only_stochastic,146,13,0.08904110,0.04226027,0.99740249,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,transformer,random_action,146,13,0.08904110,0.04609589,0.99845166,50
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,seen_family_new_instance,transformer,score_greedy,146,13,0.08904110,0.04787671,0.99922259,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,modern_cnn,bandit_action,361,8,0.02216066,0.01650970,0.99638912,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,modern_cnn,gradient_bc_groupdro_ppo_stochastic,361,19,0.05263158,0.02335180,0.93430889,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,modern_cnn,gradient_bc_only_stochastic,361,19,0.05263158,0.02041551,0.96639336,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,modern_cnn,ppo_only_stochastic,361,12,0.03324100,0.01656510,0.99823765,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,modern_cnn,random_action,361,15,0.04155125,0.01930748,0.99936532,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,modern_cnn,score_greedy,361,13,0.03601108,0.01559557,0.99964495,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,transformer,bandit_action,304,15,0.04934211,0.03582237,0.99424785,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,transformer,gradient_bc_groupdro_ppo_stochastic,304,39,0.12828947,0.05286184,0.93317492,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,transformer,gradient_bc_only_stochastic,304,36,0.11842105,0.05585526,0.96766188,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,transformer,ppo_only_stochastic,304,29,0.09539474,0.04529605,0.99821808,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,transformer,random_action,304,32,0.10526316,0.04453947,0.99933710,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,exact_source,transformer,score_greedy,304,31,0.10197368,0.04661184,0.99957592,50
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,seen_family_new_instance,modern_cnn,bandit_action,182,1,0.00549451,0.00390110,0.98999387,50
